Timestamp,sessionID,numTimeSwitches,mostRecentCheckpoint,timePassedSinceGameStart,currentLevel,eventType,debug,Checkpoint,Dimension
4/2/2024 14:15:17,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.21675,1,timeSwitch,FALSE,19.55,past
4/2/2024 14:15:18,6.38477E+17,3,"(19.55, 2.01, 0.00)",0.246466667,1,timeSwitch,FALSE,19.55,present
4/2/2024 14:15:20,6.38477E+17,3,"(42.14, 2.69, 0.00)",0.279816667,1,passedCheckpoint,FALSE,42.14,present
4/2/2024 14:15:24,6.38477E+17,3,"(42.14, 2.69, 0.00)",0.34065,1,levelCompleted,FALSE,42.14,present
4/2/2024 14:15:29,6.38477E+17,4,"(0, 0, 0)",0.432883333,2,timeSwitch,FALSE,0,past
4/2/2024 14:15:31,6.38477E+17,5,"(0, 0, 0)",0.4526,2,timeSwitch,FALSE,0,present
4/2/2024 14:15:34,6.38477E+17,5,"(17.51, 5.60, 0.00)",0.506483333,2,passedCheckpoint,FALSE,17.51,present
4/2/2024 14:15:38,6.38477E+17,6,"(17.51, 5.60, 0.00)",0.582316667,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:15:39,6.38477E+17,7,"(17.51, 5.60, 0.00)",0.601216667,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:15:43,6.38477E+17,8,"(17.51, 5.60, 0.00)",0.6551,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:15:44,6.38477E+17,9,"(17.51, 5.60, 0.00)",0.66675,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:15:47,6.38477E+17,9,"(17.51, 5.60, 0.00)",0.733766667,2,playerDied,FALSE,17.51,present
4/2/2024 14:15:51,6.38477E+17,9,"(17.51, 5.60, 0.00)",0.802533333,2,checkpointUsed,FALSE,17.51,present
4/2/2024 14:15:52,6.38477E+17,9,"(17.51, 5.60, 0.00)",0.802566667,2,passedCheckpoint,FALSE,17.51,present
4/2/2024 14:15:53,6.38477E+17,10,"(17.51, 5.60, 0.00)",0.82315,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:15:54,6.38477E+17,11,"(17.51, 5.60, 0.00)",0.840083333,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:15:57,6.38477E+17,12,"(17.51, 5.60, 0.00)",0.8951,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:15:59,6.38477E+17,13,"(17.51, 5.60, 0.00)",0.93425,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:16:04,6.38477E+17,14,"(17.51, 5.60, 0.00)",1.017333333,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:16:05,6.38477E+17,15,"(17.51, 5.60, 0.00)",1.030383333,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:16:12,6.38477E+17,16,"(17.51, 5.60, 0.00)",1.1548,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:16:19,6.38477E+17,16,"(17.51, 5.60, 0.00)",1.2648,2,playerDied,FALSE,17.51,past
4/2/2024 14:16:19,6.38477E+17,16,"(17.51, 5.60, 0.00)",1.266166667,2,playerDied,FALSE,17.51,past
